s (1,1) 49
s (2,1) 13
s (3,1) 18
s (4,1) 41
s (5,1) 91
(2,8) (1,8) 88
(2,8) (3,8) 98
(3,8) (2,8) 17
(3,8) (4,8) 100
(4,8) (3,8) 47
(4,8) (5,8) 24
(5,8) (4,8) 60
(1,9) (2,9) 29
(2,9) (1,9) 97
(2,9) (3,9) 80
(3,9) (2,9) 45
(3,9) (4,9) 73
(4,9) (3,9) 95
(4,9) (5,9) 34
(5,9) (4,9) 52
(1,10) (2,10) 10
(2,10) (1,10) 66
(2,10) (3,10) 70
(3,10) (2,10) 14
(3,10) (4,10) 99
(4,10) (3,10) 1
(4,10) (5,10) 89
(5,10) (4,10) 90
(1,11) (2,11) 97
(2,11) (1,11) 73
(2,11) (3,11) 52
(3,11) (2,11) 38
(3,11) (4,11) 7
(4,11) (3,11) 53
(4,11) (5,11) 48
(5,11) (4,11) 86
(1,12) (2,12) 99
(2,12) (1,12) 73
(2,12) (3,12) 51
(3,12) (2,12) 76
(3,12) (4,12) 83
(4,12) (3,12) 86
(4,12) (5,12) 75
(5,12) (4,12) 39
(1,13) (2,13) 9
(2,13) (1,13) 64
(2,13) (3,13) 39
(3,13) (2,13) 13
(3,13) (4,13) 47
(4,13) (3,13) 6
(4,13) (5,13) 60
(5,13) (4,13) 89
(1,14) (2,14) 78
(2,14) (1,14) 19
(2,14) (3,14) 50
(3,14) (2,14) 67
(3,14) (4,14) 70
(4,14) (3,14) 94
(4,14) (5,14) 88
(5,14) (4,14) 63
(1,15) (2,15) 79
(2,15) (1,15) 49
(2,15) (3,15) 60
(3,15) (2,15) 72
(3,15) (4,15) 87
(4,15) (3,15) 100
(4,15) (5,15) 40
(5,15) (4,15) 1
(1,16) (2,16) 36
(2,16) (1,16) 84
(2,16) (3,16) 62
(3,16) (2,16) 43
(3,16) (4,16) 49
(4,16) (3,16) 55
(4,16) (5,16) 63
(5,16) (4,16) 42
(1,17) (2,17) 89
(2,17) (1,17) 30
(2,17) (3,17) 85
(3,17) (2,17) 78
(3,17) (4,17) 61
(4,17) (3,17) 9
(4,17) (5,17) 11
(5,17) (4,17) 94
(1,18) (2,18) 12
(2,18) (1,18) 84
(2,18) (3,18) 86
(3,18) (2,18) 72
(3,18) (4,18) 13
(4,18) (3,18) 56
(4,18) (5,18) 73
(5,18) (4,18) 57
(1,19) (2,19) 83
(2,19) (1,19) 94
(2,19) (3,19) 49
(3,19) (2,19) 100
(3,19) (4,19) 68
(4,19) (3,19) 92
(4,19) (5,19) 47
(5,19) (4,19) 10
(1,20) (2,20) 16
(2,20) (1,20) 33
(2,20) (3,20) 8
(3,20) (2,20) 88
(3,20) (4,20) 50
(4,20) (3,20) 62
(4,20) (5,20) 52
(5,20) (4,20) 48
(1,20) t 7
(2,20) t 10
(3,20) t 86
(4,20) t 27
(5,20) t 54
